Rank,Ticker symbol,Name,Market Cap,Price,Volume(24h),Circulating Supply,Change(24h)
1,BTC,Bitcoin,"$186,728,504,422","$10,250.02","$42,831,739,898","18,217,375",0.45%
2,ETH,Ethereum,"$30,289,489,095",$276.11,"$22,004,424,448","109,698,903",3.03%
3,XRP,XRP,"$14,500,669,331",$0.331757,"$4,520,468,762","43,708,646,822",1.44%
4,BCH,Bitcoin Cash,"$8,963,197,115",$490.37,"$5,088,930,133","18,278,600",4.83%
5,BSV,Bitcoin SV,"$6,586,506,300",$360.39,"$2,767,632,759","18,275,865",1.25%
6,LTC,Litecoin,"$5,238,965,064",$81.76,"$5,250,066,428","64,080,847",1.18%
7,EOS,EOS,"$5,066,607,007",$5.32,"$4,255,942,130","953,013,958",0.77%
8,USDT,Tether,"$4,640,661,130",$0.999632,"$53,158,346,883","4,642,367,414",-0.08%
9,BNB,Binance Coin,"$4,087,479,391",$26.28,"$393,601,803","155,536,713",3.04%
10,XTZ,Tezos,"$2,415,377,797",$3.48,"$207,398,495","694,191,974",9.51%
11,ADA,Cardano,"$1,815,834,239",$0.070036,"$184,939,024","25,927,070,538",1.34%
12,TRX,TRON,"$1,761,854,448",$0.026422,"$2,078,291,854","66,682,072,191",9.10%
13,XLM,Stellar,"$1,711,687,518",$0.085242,"$630,901,754","20,080,447,780",2.15%
14,XMR,Monero,"$1,626,950,596",$93.27,"$128,769,293","17,443,508",2.00%
15,LINK,Chainlink,"$1,507,002,654",$4.31,"$369,076,135","350,000,000",8.44%
16,ETC,Ethereum Classic,"$1,382,757,438",$11.89,"$2,215,440,837","116,313,299",0.25%
17,DASH,Dash,"$1,210,857,134",$129.84,"$822,211,804","9,326,041",-0.59%
18,HT,Huobi Token,"$1,162,858,151",$4.92,"$325,966,104","236,468,066",3.16%
19,NEO,Neo,"$1,151,620,826",$16.33,"$1,052,722,659","70,538,831",6.70%
20,LEO,UNUS SED LEO,"$974,793,645",$0.975282,"$11,266,554","999,498,893",-1.00%
21,ATOM,Cosmos,"$968,680,085",$5.08,"$228,334,365","190,688,439",3.30%
22,CRO,Crypto.com Coin,"$924,797,928",$0.067587,"$26,025,517","13,683,105,023",2.75%
23,MIOTA,IOTA,"$892,096,121",$0.320952,"$29,282,359","2,779,530,283",-0.31%
24,HEDG,HedgeTrade,"$741,168,867",$2.57,"$705,810","288,208,798",-1.36%
25,ONT,Ontology,"$673,478,658",$1.06,"$187,185,882","637,351,170",3.69%
26,ZEC,Zcash,"$650,830,376",$72.53,"$616,283,550","8,973,769",1.07%
27,XEM,NEM,"$628,884,383",$0.069876,"$51,588,190","8,999,999,999",0.93%
28,MKR,Maker,"$624,816,801",$632.62,"$7,473,652","987,658",1.87%
29,VET,VeChain,"$443,892,616",$0.008005,"$177,207,974","55,454,734,800",2.02%
30,BAT,Basic Attention Token,"$442,951,590",$0.309789,"$105,777,054","1,429,847,364",2.83%
31,USDC,USD Coin,"$433,766,727",$1.02,"$875,294,104","425,488,191",-0.32%
32,DOGE,Dogecoin,"$381,790,221",$0.003096,"$137,507,738","123,323,331,868",2.57%
33,OKB,OKB,"$381,037,891",$6.35,"$335,977,484","60,000,000",7.84%
34,QTUM,Qtum,"$287,856,523",$2.99,"$583,393,531","96,383,708",4.63%
35,DCR,Decred,"$252,927,578",$23.45,"$120,087,846","10,786,831",0.53%
36,FTT,FTX Token,"$245,924,139",$2.54,"$2,892,248","96,732,423",1.61%
37,LSK,Lisk,"$235,719,057",$1.93,"$15,585,866","122,016,505",8.47%
38,BTG,Bitcoin Gold,"$223,933,382",$12.79,"$42,232,111","17,513,924",-1.20%
39,RVN,Ravencoin,"$219,636,994",$0.039848,"$60,438,453","5,511,805,000",11.23%
40,ZRX,0x,"$217,496,374",$0.347315,"$68,345,867","626,221,885",13.95%
41,PAX,Paxos Standard,"$210,850,611",$1.00,"$368,148,748","210,253,121",0.12%
42,ALGO,Algorand,"$209,002,730",$0.372862,"$94,493,385","560,535,811",0.55%
43,ICX,ICON,"$205,876,113",$0.394726,"$46,131,617","521,567,131",-0.04%
44,OMG,OmiseGO,"$187,159,856",$1.33,"$109,019,079","140,245,398",6.62%
45,REP,Augur,"$184,537,689",$16.78,"$31,517,001","11,000,000",-1.75%
46,BCD,Bitcoin Diamond,"$180,053,358",$0.965470,"$11,394,101","186,492,898",-1.45%
47,ZB,ZB Token,"$176,374,495",$0.380701,"$46,123,152","463,288,810",0.68%
48,HBAR,Hedera Hashgraph,"$173,294,064",$0.054769,"$63,744,711","3,164,062,654",-14.18%
49,SNX,Synthetix Network Token,"$164,785,193",$0.999691,"$1,310,670","164,836,054",6.17%
50,WAVES,Waves,"$153,295,340",$1.52,"$109,904,083","101,139,616",7.91%
51,MONA,MonaCoin,"$150,962,486",$2.30,"$16,451,394","65,729,675",1.63%
52,NANO,Nano,"$149,023,412",$1.12,"$6,002,743","133,248,297",3.54%
53,HOT,Holo,"$145,530,279",$0.000896,"$13,083,585","162,497,400,583",3.29%
54,THETA,THETA,"$145,158,344",$0.166752,"$40,671,042","870,502,690",-5.87%
55,TUSD,TrueUSD,"$142,305,936",$0.997091,"$1,122,262,472","142,721,068",-0.37%
56,SC,Siacoin,"$124,433,375",$0.002976,"$9,378,093","41,817,047,634",12.48%
57,DAI,Multi-collateral DAI,"$124,142,829",$1.01,"$20,860,284","122,310,917",1.73%
58,NEXO,Nexo,"$123,901,525",$0.221253,"$20,218,637","560,000,011",3.77%
59,BTT,BitTorrent,"$121,907,973",$0.000575,"$113,056,283","212,116,500,000",13.80%
60,ZEN,Horizen,"$121,486,281",$14.43,"$2,443,196","8,420,400",7.62%
61,BTM,Bytom,"$119,735,728",$0.119437,"$19,965,791","1,002,499,275",3.06%
62,ENJ,Enjin Coin,"$113,500,642",$0.141912,"$12,752,326","799,795,258",2.91%
63,HC,HyperCash,"$110,229,463",$2.48,"$40,845,801","44,511,662",2.06%
64,BTS,BitShares,"$107,253,347",$0.039016,"$23,206,146","2,748,950,000",1.12%
65,BCN,Bytecoin,"$106,518,545",$0.000579,"$282,636","184,066,828,814",56.17%
66,CKB,Nervos Network,"$106,286,994",$0.007969,"$8,710,097","13,337,803,057",2.32%
67,KMD,Komodo,"$106,055,022",$0.895994,"$4,903,350","118,365,747",-2.20%
68,KCS,KuCoin Shares,"$103,367,802",$1.26,"$9,176,330","81,850,451",-0.61%
69,DGB,DigiByte,"$103,129,586",$0.008043,"$1,510,848","12,821,916,869",0.31%
70,MOF,Molecular Future,"$100,645,964",$1.18,"$11,843,515","85,115,097",-0.61%
71,DGD,DigixDAO,"$99,494,933",$49.75,"$2,895,021","2,000,000",0.13%
72,IOST,IOST,"$98,837,676",$0.008227,"$53,581,128","12,013,965,609",6.45%
73,STEEM,Steem,"$97,845,535",$0.276364,"$20,412,708","354,045,734",21.97%
74,MCO,MCO,"$96,462,762",$6.11,"$36,961,658","15,793,831",1.60%
75,VSYS,v.systems,"$92,718,355",$0.048220,"$3,542,009","1,922,824,743",3.54%
76,XVG,Verge,"$90,852,115",$0.005616,"$9,682,568","16,177,132,759",6.73%
77,ZIL,Zilliqa,"$88,012,722",$0.008889,"$20,359,783","9,901,552,609",7.55%
78,SXP,Swipe,"$85,127,294",$1.39,"$17,981,830","61,123,111",-0.84%
79,CENNZ,Centrality,"$80,465,842",$0.095512,"$256,871","842,470,069",-0.22%
80,LUNA,Terra,"$79,477,957",$0.276190,"$3,759,644","287,765,804",-0.24%
81,KNC,Kyber Network,"$79,426,170",$0.457550,"$19,840,750","173,590,295",7.26%
82,AE,Aeternity,"$77,976,216",$0.258900,"$14,748,943","301,182,888",3.12%
83,XZC,Zcoin,"$77,031,407",$8.14,"$20,562,325","9,467,893",0.94%
84,SNT,Status,"$74,143,378",$0.021364,"$52,607,165","3,470,483,788",-7.75%
85,ARDR,Ardor,"$72,580,636",$0.072653,"$4,028,908","998,999,495",1.86%
86,ELF,aelf,"$71,818,206",$0.131902,"$87,513,536","544,480,200",11.41%
87,CHZ,Chiliz,"$69,641,241",$0.015248,"$30,646,052","4,567,133,626",-9.48%
88,SEELE,Seele,"$68,345,617",$0.097694,"$33,464,634","699,587,206",-2.81%
89,DX,DxChain Token,"$66,203,895",$0.001324,"$1,817,793","50,000,000,000",-2.86%
90,GNT,Golem,"$64,670,960",$0.065987,"$5,776,109","980,050,000",5.64%
91,MANA,Decentraland,"$64,619,467",$0.061534,"$25,775,930","1,050,141,509",0.50%
92,MATIC,Matic Network,"$60,035,712",$0.023465,"$38,735,898","2,558,503,686",3.96%
93,QNT,Quant,"$58,828,828",$4.87,"$3,557,279","12,072,738",4.70%
94,RLC,iExec RLC,"$58,031,856",$0.724757,"$1,191,049","80,070,793",-0.33%
95,ABBC,ABBC Coin,"$57,303,742",$0.103172,"$38,759,804","555,416,914",-0.26%
96,REN,Ren,"$55,146,795",$0.066974,"$7,010,184","823,403,651",5.15%
97,RIF,RIF Token,"$54,874,484",$0.096362,"$7,437,700","569,460,014",-2.13%
98,STX,Blockstack,"$54,208,416",$0.188694,"$3,690,883","287,282,568",-1.59%
99,AION,Aion,"$53,514,633",$0.136817,"$13,970,023","391,140,663",2.58%
100,NPXS,Pundi X,"$53,212,186",$0.000227,"$7,240,857","234,308,006,047",4.89%
